Lemma	Abs. freq. in full text	Rel. Freq. in full text
el	25283	0,07720895859672268
que	15679	0,04788036474461159
⁊	11714	0,035772089585967226
ser	11623	0,035494194746260636
de	11493	0,03509720211810836
e	8018	0,02448528378865334
en	6000	0,018322736683951114
a	5774	0,017632580268855624
por	5265	0,016078201440167104
no	4543	0,013873365459198319
̃	4186	0,012783162626503228
haber	3977	0,012144920632012264
̧	3865	0,011802896213911843
su	3377	0,010312646963617153
decir	3180	0,00971105044249409
este	3166	0,009668297390231539
todo	2986	0,009118615289713005
ca	2981	0,009103346342476379
saber	2777	0,00848037329522204
así	2555	0,00780243203791585
hacer	2300	0,007023715728847927
lo	2184	0,006669476152958206
poder	2158	0,006590077627327751
como	2138	0,006529001838381248
deber	2102	0,006419065418277541
cosa	2053	0,0062694297353586064
o	1980	0,006046503105703868
hombre	1969	0,006012911421783291
del_de+del_el	1939	0,005921297738363535
otro	1909	0,0058296840549437795
si	1857	0,00567088700368287
¶	1812	0,005533466478553237
donde	1766	0,005392992163976278
bien	1705	0,005206711007689442
uno	1667	0,005090667008691084
muy	1655	0,005054021535323182
mucho	1615	0,004931869957430175
le	1555	0,004748642590590664
más	1541	0,004705889538328112
con	1529	0,004669244064960209
enel_en+enel_el	1441	0,004400510593595593
rey	1407	0,004296681752386537
2	1387	0,0042356059634400325
bueno	1297	0,003960764913180766
ni	1232	0,003762268599104629
poner	1198	0,0036584397578955726
mas	1172	0,003579041232265118
grande	1122	0,0034263517598988585
dar	1115	0,0034049752337675823
para	1103	0,00336832976039968
al_a+al_el	1098	0,003353060813163054
razón	1088	0,0033225229186898022
aquel	1074	0,0032797698664272495
dela_de+dela_el	1059	0,0032339630247173717
cuándo	1059	0,0032339630247173717
cuál	1004	0,0030660046051144865
dios	998	0,0030476818684305354
querer	989	0,0030201977634046087
según	965	0,002946906816668804
convenir	897	0,0027392491342506918
ley	888	0,002711765029224765
3	885	0,0027026036608827895
delos_de+delos_el	878	0,0026812271347515133
manera	836	0,0025529679779638555
él	832	0,0025407528201745544
alos_a+alos_el	819	0,002501053557359327
alguno	790	0,002412493663386897
1	784	0,002394170926702946
delas_de+delas_el	764	0,002333095137756442
hijo	723	0,002207889770416109
ende	714	0,0021804056653901825
santo	700	0,00213765261312763
tomar	698	0,0021315450342329796
libro	680	0,0020765768241811262
capítulo	679	0,002073523034733801
porque	675	0,0020613078769445006
te	674	0,002058254087497175
ninguno	652	0,001991070719656021
sin	644	0,0019666404040774195
enla_en+enla_el	640	0,001954425246288119
mujer	633	0,0019330487201568427
tener	627	0,0019147259834728916
ellos	621	0,0018964032467889405
mal	612	0,0018689191417630138
tal	602	0,0018383812472897618
malo	582	0,0017773054583432582
ciudad	579	0,0017681440900012826
virtud	574	0,0017528751427646567
parte	569	0,0017376061955280307
estar	564	0,0017223372482914048
venir	543	0,0016582076698975759
sen	539	0,0016459925121082753
mismo	536	0,0016368311437662997
cuanto	534	0,0016307235648716492
guardar	533	0,0016276697754243241
100	529	0,0016154546176350233
natural	522	0,001594078091503747
obra	487	0,0014871954608473654
allí	465	0,0014200120930062115
ejemplo	464	0,0014169583035588862
ese	455	0,0013894741985329595
ala_a+ala_el	452	0,001380312830190984
mejor	451	0,0013772590407436587
tan	440	0,0013436673568230817
ver	437	0,0013345059884811061
reino	432	0,0013192370412444803
me	422	0,0012886991467712283
se	421	0,0012856453573239033
príncipe	419	0,0012795377784292528
aquí	419	0,0012795377784292528
padre	411	0,0012551074628506513
sobre	411	0,0012551074628506513
d	406	0,0012398385156140255
derecho	405	0,0012367847261667002
mostrar	404	0,001233730936719375
cuerpo	404	0,001233730936719375
hablar	404	0,001233730936719375
mayor	403	0,00123067714727205
sabio	401	0,0012245695683773996
siempre	392	0,001197085463351473
ir	389	0,0011879240950094974
contar	387	0,0011818165161148469
caballero	383	0,0011696013583255462
ya	376	0,0011482248321942699
tierra	356	0,0010871490432477662
4	356	0,0010871490432477662
casa	354	0,0010810414643531159
menester	351	0,0010718800960111403
entre	350	0,001068826306563815
contra	347	0,0010596649382218395
aún	346	0,0010566111487745142
enlos_en+enlos_el	340	0,0010382884120905631
consejo	321	0,0009802664125913847
oro	319	0,0009741588336967343
parecer	316	0,0009649974653547587
nunca	308	0,0009405671497761572
justicia	308	0,0009405671497761572
enemigo	306	0,0009344595708815069
gobernar	305	0,0009314057814341816
corac	299	0,0009130830447502305
mundo	293	0,0008947603080662795
honra	291	0,0008886527291716291
pueblo	290	0,0008855989397243039
tanto	289	0,0008825451502769787
enlas_en+enlas_el	287	0,0008764375713823284
vivir	285	0,000870329992487678
siervo	284	0,0008672762030403528
cada	279	0,0008520072558037268
amar	279	0,0008520072558037268
vida	272	0,0008306307296724506
tiempo	271	0,0008275769402251254
costumbre	269	0,000821469361330475
alas_a+alas_el	264	0,000806200414093849
mandar	261	0,0007970390457518735
amor	258	0,0007878776774098979
moc	254	0,0007756625196205972
común	251	0,0007665011512786216
ordenar	250	0,0007634473618312965
notar	250	0,0007634473618312965
pecado	249	0,0007603935723839712
sobredicho	248	0,0007573397829366461
sabiduría	245	0,0007481784145946705
cumplir	237	0,0007237480990160691
usar	236	0,0007206943095687438
después	236	0,0007206943095687438
alma	234	0,0007145867306740935
desto_de+desto_este	234	0,0007145867306740935
noble	233	0,0007115329412267683
filósofo	231	0,000705425362332118
entender	228	0,0006962639939901424
llamar	228	0,0006962639939901424
seguir	224	0,0006840488362008417
empero	221	0,0006748874678588661
quien	215	0,000656564731174915
traer	211	0,0006443495733856142
matar	209	0,0006382419944909639
voluntad	207	0,0006321344155963135
vez	207	0,0006321344155963135
comunidad	207	0,0006321344155963135
ensen	206	0,0006290806261489883
oficio	202	0,0006168654683596875
vencer	200	0,0006107578894650372
departir	193	0,0005893813633337609
cierto	192	0,0005863275738864356
batalla	191	0,0005832737844391105
condición	187	0,0005710586266498098
natura	187	0,0005710586266498098
dejar	186	0,0005680048372024845
lugar	184	0,0005618972583078342
contrario	183	0,000558843468860509
agustín	182	0,0005557896794131838
sino	182	0,0005557896794131838
ar	180	0,0005496821005185334
amigo	180	0,0005496821005185334
persona	180	0,0005496821005185334
suyo	179	0,0005466283110712082
pecar	176	0,0005374669427292327
otrosí	176	0,0005374669427292327
quel_que+quel_el	175	0,0005344131532819075
