                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1551,                 111.99,                 3.5358,                      0,                      0,                      0,                      0,                 4.6592,                 37.436,                 4.0194,             0.00046812,             0.00046812,             0.00046812
                      2,                 4.5206,                 39.599,                 3.9897,                      0,                      0,                      0,                      0,                 5.1078,                 37.803,                 4.4769,             0.00094134,             0.00094134,             0.00094134
                      3,                 4.1925,                 45.477,                 3.6673,                  2e-05,                0.00392,                  1e-05,                      0,                 5.1083,                 27.078,                 5.8426,              0.0014114,              0.0014114,              0.0014114
                      4,                 3.9703,                 34.494,                 3.6141,                  2e-05,                0.00392,                  1e-05,                      0,                 3.7531,                 30.568,                 3.4089,              0.0014149,              0.0014149,              0.0014149
                      5,                 4.0415,                 38.661,                 3.5239,                  2e-05,                0.00392,                  1e-05,                      0,                 3.4242,                 29.043,                 3.3289,              0.0014149,              0.0014149,              0.0014149
                      6,                 3.4778,                 36.279,                 3.2372,                  2e-05,                0.00392,                  4e-05,                  2e-05,                 3.4769,                 28.945,                 3.2329,              0.0014101,              0.0014101,              0.0014101
                      7,                 3.6957,                 29.094,                 3.4407,                  2e-05,                0.00392,                  4e-05,                  2e-05,                 3.3617,                 26.643,                 3.0411,              0.0014054,              0.0014054,              0.0014054
                      8,                 3.7329,                 32.053,                 3.3755,                  2e-05,                0.00392,                  4e-05,                  2e-05,                  3.235,                     33,                   2.98,              0.0014007,              0.0014007,              0.0014007
                      9,                 2.9883,                 31.495,                 2.9233,                0.00011,                0.01569,                  6e-05,                  2e-05,                 3.2561,                 22.691,                 3.0033,               0.001396,               0.001396,               0.001396
                     10,                  3.081,                 28.521,                 2.9933,                  5e-05,                0.00784,                  3e-05,                  2e-05,                 3.3153,                 21.413,                 3.0039,              0.0013913,              0.0013913,              0.0013913
                     11,                 3.3245,                 24.402,                 3.0373,                  3e-05,                0.00392,                  2e-05,                  1e-05,                 3.2433,                 18.387,                 2.9246,              0.0013866,              0.0013866,              0.0013866
                     12,                 3.1138,                  25.87,                 2.7844,                0.00028,                0.02745,                0.00042,                  7e-05,                 3.2122,                 12.321,                 2.8263,              0.0013818,              0.0013818,              0.0013818
                     13,                 3.4714,                 18.135,                 3.0128,                0.00042,                0.10196,                0.00034,                 0.0001,                 3.1658,                 10.374,                 2.7561,              0.0013771,              0.0013771,              0.0013771
